task,method,model,accuracy,macro_f1,macro_precision,macro_recall,weighted_f1,n_samples,n_classes,feature_dim,data_source,seq_length,rnn_hidden,rnn_layers,train_time,tag,group,feature_construction_time,inference_time_total,inference_time_per_sample,window_size,window_step,seq_step
,,xgb,0.94,0.8697746017598958,,,0.9305408602835074,,,,,,,,0.2462011000025086,group_b_xgb_W900_S900,B,7.527088642120361,0.0015722000098321,5.240666699440529e-06,900.0,900.0,
,,rf,0.9809719722293648,0.9359105926064272,,,0.9806036953142614,,,,,,,,0.5779255999950692,group_b_rf_W300_S30,B,99.50752520561218,0.0395497000135947,5.084816149857895e-06,300.0,30.0,
,,xgb,0.977243507328362,0.8989543694806171,,,0.9776616902457842,,,,,,,,1.1896523000032175,group_b_xgb_W300_S30,B,100.59328269958496,0.0181207999994512,2.329750578484349e-06,300.0,30.0,
,,rf,0.979738394460118,0.9329103320734008,,,0.9795196426706732,,,,,,,,0.3220046999922488,group_b_rf_W300_S60,B,52.01977133750916,0.0283937999920453,7.282328800216822e-06,300.0,60.0,
,,xgb,0.9784560143626572,0.9223067347071272,,,0.978367826471399,,,,,,,,0.7734311999811325,group_b_xgb_W300_S60,B,52.14829969406128,0.0082039999833796,2.1041292596510946e-06,300.0,60.0,
,,rf,0.9782330345710628,0.9416285774159854,,,0.9782673760334366,,,,,,,,0.2045112999912817,group_b_rf_W300_S150,B,24.123634576797485,0.0290649999806191,1.8607554405005875e-05,300.0,150.0,
,,xgb,0.9769526248399488,0.9421256732279936,,,0.9770250897186492,,,,,,,,0.6359666000062134,group_b_xgb_W300_S150,B,23.535430908203125,0.0042176999850198,2.7001920518693104e-06,300.0,150.0,
,,rf,0.9756410256410256,0.9531979389574328,,,0.9730978679980627,,,,,,,,0.1629779000068083,group_b_rf_W300_S300,B,13.79526686668396,0.0282218999927863,3.6181923067674805e-05,300.0,300.0,
,,xgb,0.9782051282051282,0.9539823638976694,,,0.977263751171192,,,,,,,,0.3747292999760248,group_b_xgb_W300_S300,B,13.62746238708496,0.0027441999991424,3.51820512710569e-06,300.0,300.0,
,,rf,0.9673805350201966,0.8913429367527892,,,0.9634461225049876,,,,,10.0,,,1.451145600003656,group_c_rf_H10_L10,C,137.5030574798584,0.0615860999969299,4.6937047478797335e-06,,,10.0
,,xgb,0.9728679216523132,0.9108229838843735,,,0.9712401261514718,,,,,10.0,,,2.951584799971897,group_c_xgb_H10_L10,C,138.7187991142273,0.0572449000028427,4.362845819895036e-06,,,10.0
,,lstm,0.9903208596905724,0.9521648335629692,,,0.9902444932667324,,,,,10.0,,,270.2983121871948,group_d_lstm_H10_L10,D,57.28384828567505,0.4279161000158638,3.261307065131192e-05,,,10.0
,,gru,0.9891776541422148,0.9450143529823432,,,0.988781348502412,,,,,10.0,,,395.173374414444,group_d_gru_H10_L10,D,56.58206844329834,0.7413714000140317,5.650265985931192e-05,,,10.0
,,rf,0.9717729630759842,0.8875257938292044,,,0.9683129988975486,,,,,20.0,,,0.7509375000081491,group_c_rf_H20_L20,C,69.83165860176086,0.0403129999758675,6.150900209927917e-06,,,20.0
,,xgb,0.9763503204150136,0.901188715606166,,,0.9752693814546064,,,,,20.0,,,1.573063199990429,group_c_xgb_H20_L20,C,70.8645658493042,0.0252114000031724,3.846719561057745e-06,,,20.0
,,lstm,0.9940494354592616,0.9681554515515602,,,0.9940467881078384,,,,,20.0,,,95.90656566619872,group_d_lstm_H20_L20,D,30.120429039001465,0.2682293000107165,4.092604516489419e-05,,,20.0
,,gru,0.9945071711931645,0.9760439770604245,,,0.9944840693442706,,,,,20.0,,,173.78616523742676,group_d_gru_H20_L20,D,29.862128496170044,0.5834491999994498,8.902184925228102e-05,,,20.0
,,rf,0.9759082217973232,0.8960248413290225,,,0.9738964986443964,,,,,50.0,,,0.3383290999918245,group_c_rf_H50_L50,C,27.89151334762573,0.0281555000110529,1.0766921610345292e-05,,,50.0
,,xgb,0.9789674952198852,0.9118035457475516,,,0.9785425585671406,,,,,50.0,,,0.6939253000018653,group_c_xgb_H50_L50,C,29.37961745262146,0.0064423999865539,2.4636328820473945e-06,,,50.0
,,lstm,0.991586998087954,0.9546344428510252,,,0.991544519561919,,,,,50.0,,,111.83448696136476,group_d_lstm_H50_L50,D,13.899676084518433,0.1792971999966539,6.856489483619653e-05,,,50.0
,,gru,0.9934990439770556,0.9502002145118208,,,0.993419424936284,,,,,50.0,,,222.0938501358032,group_d_gru_H50_L50,D,13.865885257720947,0.543037000024924,0.0002076623327055,,,50.0
,,rf,0.9795045990611044,0.9122486031662144,,,0.9776535941944224,,,,,20.0,,,3.264284900011262,group_c_rf_H20_L5,C,280.80379033088684,0.0974256999907083,3.718396244063523e-06,,,5.0
